@relation iris-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute NewNumeric0 numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,0.208333,0.338983,0.416667,0.143175,Iris-versicolor
0.305556,0.791667,0.118644,0.125,0.697316,Iris-setosa
0.25,0.291667,0.491525,0.541667,0.445863,Iris-versicolor
0.416667,0.833333,0.033898,0.041667,0.77,Iris-setosa
0.555556,0.208333,0.677966,0.75,0.262323,Iris-virginica
0.388889,0.75,0.118644,0.083333,0.752599,Iris-setosa
0.194444,0.416667,0.101695,0.041667,0.877096,Iris-setosa
0.666667,0.458333,0.779661,0.958333,0.593421,Iris-virginica
0.055556,0.125,0.050847,0.083333,0.34204,Iris-setosa
0.333333,0.166667,0.457627,0.375,0.752967,Iris-versicolor
0.388889,1,0.084746,0.125,0.182579,Iris-setosa
0.305556,0.583333,0.084746,0.125,0.429037,Iris-setosa
0.416667,0.333333,0.694915,0.958333,0.286056,Iris-virginica
0.25,0.583333,0.067797,0.041667,0.821894,Iris-setosa
0.388889,0.416667,0.542373,0.458333,0.030496,Iris-versicolor
0.555556,0.541667,0.847458,1,0.286799,Iris-virginica
0.472222,0.583333,0.59322,0.625,0.235717,Iris-versicolor
0.444444,0.5,0.644068,0.708333,0.802311,Iris-versicolor
0.138889,0.458333,0.101695,0.041667,0.08036,Iris-setosa
0.027778,0.416667,0.050847,0.041667,0.774846,Iris-setosa
0.083333,0.583333,0.067797,0.083333,0.131126,Iris-setosa
0,0.416667,0.016949,0,0.651815,Iris-setosa
0.694444,0.5,0.830508,0.916667,0.681053,Iris-virginica
0.583333,0.375,0.559322,0.5,0.303862,Iris-versicolor
0.583333,0.5,0.59322,0.583333,0.75131,Iris-versicolor
0.416667,0.291667,0.694915,0.75,0.416345,Iris-virginica
0.333333,0.625,0.050847,0.041667,0.138651,Iris-setosa
0.5,0.333333,0.627119,0.458333,0.784016,Iris-versicolor
0.388889,0.208333,0.677966,0.791667,0.50406,Iris-virginica
0.444444,0.416667,0.694915,0.708333,0.092271,Iris-virginica
0.666667,0.416667,0.677966,0.666667,0.616205,Iris-versicolor
0.166667,0.416667,0.067797,0.041667,0.482373,Iris-setosa
0.472222,0.291667,0.694915,0.625,0.858179,Iris-versicolor
0.138889,0.583333,0.101695,0.041667,0.504239,Iris-setosa
0.722222,0.458333,0.694915,0.916667,0.052843,Iris-virginica
0.305556,0.583333,0.118644,0.041667,0.354152,Iris-setosa
0.194444,0.625,0.101695,0.208333,0.589187,Iris-setosa
0.611111,0.5,0.694915,0.791667,0.049787,Iris-virginica
0.722222,0.458333,0.745763,0.833333,0.97098,Iris-virginica
0.722222,0.5,0.79661,0.916667,0.212983,Iris-virginica
0.666667,0.458333,0.576271,0.541667,0.944109,Iris-versicolor
0.611111,0.416667,0.813559,0.875,0.791555,Iris-virginica
0.944444,0.25,1,0.916667,0.678163,Iris-virginica
0.222222,0.75,0.152542,0.125,0.563302,Iris-setosa
0.361111,0.416667,0.59322,0.583333,0.421779,Iris-versicolor
0.583333,0.291667,0.728814,0.75,0.914123,Iris-virginica
0.555556,0.583333,0.779661,0.958333,0.163964,Iris-virginica
0.222222,0.75,0.101695,0.041667,0.782309,Iris-setosa
0.5,0.333333,0.508475,0.5,0.112185,Iris-versicolor
0.5,0.416667,0.610169,0.541667,0.004834,Iris-versicolor
0.75,0.5,0.627119,0.541667,0.942596,Iris-versicolor
0.444444,0.416667,0.542373,0.583333,0.60938,Iris-versicolor
0.555556,0.333333,0.694915,0.583333,0.441675,Iris-virginica
0.583333,0.333333,0.779661,0.833333,0.966635,Iris-virginica
0.916667,0.416667,0.949153,0.833333,0.198311,Iris-virginica
