@relation blood-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R5-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R5-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 'Recency (months)' numeric
@attribute 'Frequency (times)' numeric
@attribute 'Monetary (c.c. blood)' numeric
@attribute 'Time (months)' numeric
@attribute NewNumeric0 numeric
@attribute 'whether he/she donated blood in March 2007' {0,1}

@data
0.283784,0.081633,0.081633,0.604167,0.031448,0
0.054054,0,0,0.020833,0.846097,0
0.175676,0.142857,0.142857,0.25,0.175325,0
0.283784,0.040816,0.040816,0.645833,0.634611,0
0.189189,0.081633,0.081633,0.125,0.893755,0
0.054054,0.040816,0.040816,0.71875,0.45316,0
0.054054,0.020408,0.020408,0.40625,0.021149,0
0.027027,0.102041,0.102041,0.270833,0.01506,1
0.216216,0,0,0.145833,0.560936,0
0.054054,0.020408,0.020408,0.510417,0.317721,1
0.054054,0.061224,0.061224,0.40625,0.150901,0
0.148649,0.163265,0.163265,0.322917,0.324119,0
0.162162,0.285714,0.285714,0.71875,0.381281,0
0.027027,0,0,0,0.450699,0
0.027027,0.857143,0.857143,0.875,0.254879,1
0.027027,0,0,0,0.260358,0
0.310811,0,0,0.21875,0.63663,0
0.027027,0,0,0,0.242364,0
0.216216,0.061224,0.061224,0.583333,0.359717,0
0.027027,0.061224,0.061224,0.34375,0.036801,0
0.054054,0.020408,0.020408,0.28125,0.468026,0
0.040541,0,0,0.010417,0.231114,1
0.310811,0.367347,0.367347,0.625,0.064968,0
0.054054,0,0,0.020833,0.800429,0
0.054054,0.020408,0.020408,0.302083,0.29411,0
0.148649,0,0,0.09375,0.089577,0
0.027027,0.020408,0.020408,0,0.938662,0
0.216216,0.122449,0.122449,0.885417,0.729288,1
0.121622,0.081633,0.081633,0.510417,0.038365,1
0.027027,0.020408,0.020408,0.083333,0.156062,0
0.027027,0,0,0,0.280975,0
